fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2021-01-02,Buenos Aires,Mujer,44,,No,No,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,29,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,36,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,51,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,62,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,39,,No,Si,Si,No,Si,No,No,No,No,No,No,No,Otro,Varon
2021-01-02,Buenos Aires,Mujer,28,Paraguaya,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,33,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,25,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,57,Argentina,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,39,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-02,Buenos Aires,Mujer,18,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Padre o tutor,Varon
2021-01-02,Buenos Aires,Mujer,34,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,31,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,36,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,27,,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,40,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,21,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,75,,No,Si,No,No,No,Si,No,No,No,No,No,No,,
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,33,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,31,Peruana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,41,Boliviana,No,Si,No,Si,No,Si,No,No,No,No,No,No,Otro,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,24,Paraguaya,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,
